City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
253,Ati,TD,2021-06-04 23:53:23,13.2154,18.3353,85.78,43,94,8.28
254,Strasice,CZ,2021-06-04 23:53:23,49.7355,13.7576,64.78,75,43,3.11
255,Tasiilaq,GL,2021-06-04 23:53:24,65.6145,-37.6368,38.05,94,100,3.0
256,Ramtek,IN,2021-06-04 23:53:24,21.4,79.3333,75.96,63,50,3.98
257,Axim,GH,2021-06-04 23:53:25,4.8699,-2.2405,78.93,86,82,9.17
258,Tilichiki,RU,2021-06-04 23:53:25,60.4667,166.1,45.77,77,98,4.43
259,Lamar,US,2021-06-04 23:53:25,33.6668,-95.5836,80.76,50,20,7.47
260,Cidreira,BR,2021-06-04 23:53:25,-30.1811,-50.2056,65.16,88,15,9.64
261,Chenzhou,CN,2021-06-04 23:53:26,25.8,113.0333,69.33,79,33,2.26
262,Esperance,AU,2021-06-04 23:53:26,-33.8667,121.9,51.64,69,15,13.06
263,Wooster,US,2021-06-04 23:53:26,40.8051,-81.9351,82.65,56,1,11.5
264,Mujiayingzi,CN,2021-06-04 23:53:27,42.1167,118.7833,67.46,34,27,17.16
265,Mogadishu,SO,2021-06-04 23:50:56,2.0371,45.3438,78.64,82,55,16.73
266,Ponta Delgada,PT,2021-06-04 23:53:27,37.7333,-25.6667,63.32,82,20,2.3
267,Kidal,ML,2021-06-04 23:53:27,18.4411,1.4078,94.57,11,19,4.9
268,Spirit River,CA,2021-06-04 23:53:28,55.7833,-118.8361,68.43,50,93,5.91
269,Altagracia De Orituco,VE,2021-06-04 23:53:28,9.8601,-66.3814,73.0,94,100,3.71
270,Zlatoust,RU,2021-06-04 23:49:04,55.1711,59.6508,38.97,70,0,2.01
271,Falun,SE,2021-06-04 23:53:28,60.6036,15.626,51.94,88,3,0.74
272,Balaipungut,ID,2021-06-04 23:53:29,1.05,101.2833,77.41,97,100,1.81
273,Saint-Ambroise,CA,2021-06-04 23:53:29,48.5501,-71.3324,73.71,49,68,1.77
274,Lugovoy,KZ,2021-06-04 23:53:29,42.9472,72.7644,73.4,32,49,10.07
275,Kaitangata,NZ,2021-06-04 23:53:29,-46.2817,169.8464,55.92,62,99,9.33
276,Joplin,US,2021-06-04 23:53:30,37.0842,-94.5133,81.16,55,95,5.46
277,Havre-Saint-Pierre,CA,2021-06-04 23:49:21,50.2334,-63.5986,57.56,82,1,10.36
278,Kununurra,AU,2021-06-04 23:53:30,-15.7667,128.7333,75.18,31,58,13.8
279,Boca Do Acre,BR,2021-06-04 23:53:31,-8.7522,-67.3978,76.73,65,100,0.94
280,Basoko,CD,2021-06-04 23:53:31,1.2391,23.616,72.91,90,63,0.78
281,Iqaluit,CA,2021-06-04 23:49:28,63.7506,-68.5145,35.33,80,90,15.99
282,Naze,JP,2021-06-04 23:53:31,28.3667,129.4833,72.52,95,100,12.71
