City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Lompoc,US,34.6391,-120.4579,82.02,72,75,3.0,broken clouds
160,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.56,88,90,6.91,overcast clouds
161,Olga,RU,43.7444,135.2892,54.27,85,98,2.21,overcast clouds
162,Puerto Ayora,EC,-0.7393,-90.3518,80.56,86,99,5.01,overcast clouds
163,Cabo San Lucas,MX,22.8909,-109.9124,102.81,49,0,10.33,clear sky
164,Yar-Sale,RU,66.8333,70.8333,38.08,73,35,3.74,scattered clouds
165,Singaraja,ID,-8.112,115.0882,79.27,83,45,2.06,scattered clouds
166,Saint-Philippe,RE,-21.3585,55.7679,74.48,82,14,1.39,few clouds
167,Senno,RU,59.5336,33.9167,57.11,64,10,4.23,clear sky
168,Narsaq,GL,60.9167,-46.05,46.26,66,100,10.13,overcast clouds
169,Kon Tum,VN,14.35,108.0,70.56,97,100,1.19,overcast clouds
170,Townsville,AU,-19.25,146.8,54.48,88,74,6.91,broken clouds
171,Bowen,AU,-20.0167,148.2333,48.42,62,91,8.39,overcast clouds
172,Sheltozero,RU,61.3667,35.3667,55.8,59,3,3.58,clear sky
173,Terney,RU,45.0503,136.6092,53.64,94,99,2.46,overcast clouds
174,Cidreira,BR,-30.1811,-50.2056,72.18,73,100,5.88,overcast clouds
175,Bathurst,AU,-33.4166,149.5806,38.82,79,0,2.15,clear sky
176,San Quintin,MX,30.4833,-115.95,68.31,63,17,11.12,few clouds
177,Karakol,KG,42.4907,78.3936,55.17,65,10,5.64,light rain
178,Makakilo City,US,21.3469,-158.0858,82.56,57,90,18.14,overcast clouds
179,Constitucion,CL,-35.3333,-72.4167,54.86,63,100,8.46,overcast clouds
180,Gornyye Klyuchi,RU,45.25,133.5,53.11,96,100,5.79,light rain
181,Katangli,RU,51.7102,143.2326,39.09,94,100,13.71,overcast clouds
182,Kakching,IN,24.4833,93.9833,66.99,95,98,1.59,overcast clouds
183,Halifax,CA,44.6453,-63.5724,82.42,70,90,9.22,overcast clouds
184,San Pedro,PH,14.35,121.0167,81.63,84,40,5.91,scattered clouds
